position,player_team_tier,opponent_team_tier,is_home,component_type,multiplier,total_sample_size,num_seasons,seasons_covered,slice_avg,season_avg
DEF,1.0,1.0,0,assists,0.0983,55,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0182,0.088
DEF,1.0,1.0,1,assists,1.2157,50,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.1,0.0865
DEF,1.0,2.0,0,assists,0.5522,177,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0621,0.0853
DEF,1.0,2.0,1,assists,0.5309,173,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.052,0.0852
DEF,1.0,3.0,0,assists,0.8357,234,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0897,0.0947
DEF,1.0,3.0,1,assists,1.4449,234,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.1239,0.0946
DEF,1.0,4.0,0,assists,0.8408,207,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0725,0.0863
DEF,1.0,4.0,1,assists,1.4876,205,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.1171,0.0868
DEF,1.0,5.0,0,assists,1.3449,130,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.1077,0.0893
DEF,1.0,5.0,1,assists,1.171,127,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.1024,0.0899
DEF,2.0,1.0,0,assists,0.4997,181,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0442,0.0841
DEF,2.0,1.0,1,assists,0.84,177,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0678,0.0835
DEF,2.0,2.0,0,assists,0.8426,247,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0688,0.0807
DEF,2.0,2.0,1,assists,0.9725,237,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0759,0.0813
DEF,2.0,3.0,0,assists,0.8594,435,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0736,0.0835
DEF,2.0,3.0,1,assists,1.0317,431,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0882,0.0835
DEF,2.0,4.0,0,assists,0.8523,385,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0753,0.0848
DEF,2.0,4.0,1,assists,1.2375,386,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.1036,0.0846
DEF,2.0,5.0,0,assists,1.3164,234,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.1068,0.0829
DEF,2.0,5.0,1,assists,1.4362,236,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.1144,0.0839
DEF,3.0,1.0,0,assists,0.8512,250,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.06,0.0663
DEF,3.0,1.0,1,assists,0.4546,246,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0325,0.0665
DEF,3.0,2.0,0,assists,0.6204,453,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0419,0.0673
DEF,3.0,2.0,1,assists,1.3997,450,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0933,0.0672
DEF,3.0,3.0,0,assists,0.7252,532,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.047,0.0648
DEF,3.0,3.0,1,assists,0.878,527,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0569,0.0648
DEF,3.0,4.0,0,assists,0.9896,575,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0661,0.0664
DEF,3.0,4.0,1,assists,1.217,571,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0788,0.0665
DEF,3.0,5.0,0,assists,1.2653,333,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0811,0.0661
DEF,3.0,5.0,1,assists,1.5144,326,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.1012,0.0661
DEF,4.0,1.0,0,assists,0.396,224,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0179,0.0482
DEF,4.0,1.0,1,assists,0.704,217,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0323,0.0485
DEF,4.0,2.0,0,assists,0.7604,398,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0402,0.0498
DEF,4.0,2.0,1,assists,0.6903,393,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0382,0.0495
DEF,4.0,3.0,0,assists,0.9138,558,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0484,0.0486
DEF,4.0,3.0,1,assists,0.9577,548,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.042,0.0488
DEF,4.0,4.0,0,assists,1.4605,459,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0632,0.0456
DEF,4.0,4.0,1,assists,1.1491,459,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0523,0.045
DEF,4.0,5.0,0,assists,1.345,301,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0698,0.048
DEF,4.0,5.0,1,assists,1.345,302,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0629,0.0481
DEF,5.0,1.0,0,assists,0.6035,136,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0294,0.0514
DEF,5.0,1.0,1,assists,0.2842,139,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0216,0.0521
DEF,5.0,2.0,0,assists,0.4524,251,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0239,0.0502
DEF,5.0,2.0,1,assists,0.8911,244,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0451,0.0498
DEF,5.0,3.0,0,assists,1.2728,349,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.063,0.0493
DEF,5.0,3.0,1,assists,1.1086,341,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0528,0.0493
DEF,5.0,4.0,0,assists,0.9198,314,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0414,0.046
DEF,5.0,4.0,1,assists,1.3802,315,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0603,0.0464
DEF,5.0,5.0,0,assists,1.0919,121,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0661,0.0494
DEF,5.0,5.0,1,assists,1.6519,122,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.082,0.0487
DEF,1.0,1.0,0,bonus,0.5232,55,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.2,0.3755
DEF,1.0,1.0,1,bonus,0.9196,50,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.34,0.3738
DEF,1.0,2.0,0,bonus,0.6532,177,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.2655,0.3687
DEF,1.0,2.0,1,bonus,0.916,173,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.3295,0.3698
DEF,1.0,3.0,0,bonus,0.9704,234,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.3846,0.3864
DEF,1.0,3.0,1,bonus,0.7326,234,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.2863,0.3865
DEF,1.0,4.0,0,bonus,1.512,207,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.5556,0.3791
DEF,1.0,4.0,1,bonus,1.2824,205,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.4878,0.3789
DEF,1.0,5.0,0,bonus,1.2415,130,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.4385,0.3784
DEF,1.0,5.0,1,bonus,0.8456,127,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.3307,0.3798
DEF,2.0,1.0,0,bonus,0.3717,181,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.1271,0.3319
DEF,2.0,1.0,1,bonus,0.7053,177,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.226,0.3304
DEF,2.0,2.0,0,bonus,0.6946,247,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.2308,0.3193
DEF,2.0,2.0,1,bonus,0.5855,237,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.1857,0.3212
DEF,2.0,3.0,0,bonus,0.9109,435,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.3011,0.3363
