player_id,player_name,position
116,Aaron Hickey,DEF
674,Aaron Ramsdale,GK
211,Aaron Ramsey,MID
610,Aaron Wan-Bissaka,DEF
234,Aarón Anselmino,DEF
165,Abdallah Sima,MID
554,Abdoullah Ba,MID
406,Abdukodir Khusanov,DEF
817,Adam Armstrong,FWD
667,Adam Aznou,DEF
73,Adam Smith,DEF
153,Adam Webster,DEF
273,Adam Wharton,MID
326,Adama Traoré Diarra,MID
176,Adrian Mazilu,MID
74,Adrien Truffert,DEF
562,Ahmed Abdullahi,FWD
752,Airidas Golambeckis,DEF
533,Aji Alese,DEF
555,Alan Browne,MID
29,Albert Sambi Lokonga,MID
453,Alejandro Garnacho Ferreyra,MID
340,Alex Cairns,GK
324,Alex Iwobi,MID
481,Alex Murphy,DEF
70,Alex Paulsen,GK
90,Alex Scott,MID
801,Alex Tóth,MID
499,Alexander Isak,FWD
386,Alexis Mac Allister,MID
786,Alfie McNally,GK
641,Alfie Pond,DEF
366,Alisson Becker,GK
600,Alphonse Areola,GK
431,Altay Bayındır,GK
792,Alysson Edward Franco da Rocha dos Santos,MID
452,Amad Diallo,MID
59,Amadou Onana,MID
378,Amara Nallo,DEF
697,Amine Adli,MID
711,Andre Harriman-Annous,MID
327,Andreas Hoelgebaum Pereira,MID
177,Andrew Moran,MID
372,Andrew Robertson,DEF
246,Andrey Nascimento dos Santos,MID
432,André Onana,GK
643,André Trindade da Costa Neto,MID
42,Andrés García,DEF
621,Andy Irving,MID
816,Angel Gomes,MID
675,Angus Gunn,GK
486,Anthony Elanga,MID
485,Anthony Gordon,MID
528,Anthony Patterson,GK
82,Antoine Semenyo,MID
660,Anton Stach,MID
316,Antonee Robinson,DEF
122,Antoni Milambo,MID
454,Antony dos Santos,MID
567,Antonín Kinský,GK
492,Antoñito Cordero Campillo,MID
591,Archie Gray,MID
680,Armando Broja,FWD
696,Arnaud Kalimuendo,FWD
678,Arthur Masuaku,DEF
274,Asher Agbinone,MID
218,Ashley Barnes,FWD
576,Ashley Phillips,DEF
815,Axel Disasi,DEF
198,Axel Tuanzebe,DEF
447,Ayden Heaven,DEF
685,Bafodé Diakité,DEF
139,Bart Verbruggen,GK
193,Bashir Humphreys,DEF
639,Bastien Meupiyou Menadjou,DEF
60,Ben Broggio,MID
780,Ben Casey,FWD
571,Ben Davies,DEF
391,Ben Gannon-Doak,MID
96,Ben Winterburn,MID
769,Bendito Mantato,MID
114,Benjamin Arthur,DEF
115,Benjamin Fredrick,DEF
664,Benjamin Lecomte,GK
681,Benjamin Sesko,FWD
11,Benjamin White,DEF
229,Benoît Badiashile Mukinayi,DEF
416,Bernardo Mota Veiga de Carvalho e Silva,MID
314,Bernd Leno,GK
735,Bertrand Traoré,MID
530,Blondy Nna Noukeu,GK
259,Borna Sosa,DEF
58,Boubacar Kamara,MID
649,Boubacar Traoré,MID
702,Bradley Burrowes,MID
779,Braiden Graham,FWD
162,Brajan Gruda,MID
566,Brandon Austin,GK
13,Brayden Clarke,DEF
350,Brenden Aaronson,MID
580,Brennan Johnson,MID
730,Brian Brobbey,FWD
449,Bruno Borges Fernandes,MID
488,Bruno Guimarães Rodriguez Moura,MID
590,Bryan Gil Salvatierra,MID
119,Bryan Mbeumo,MID
16,Bukayo Saka,MID
265,Caleb Kporha,DEF
69,Callan McKenna,GK
306,Callum Bates,MID
516,Callum Hudson-Odoi,MID
626,Callum Marshall,FWD
595,Callum Olusesi,MID
671,Callum Wilson,FWD
318,Calvin Bassey,DEF
380,Calvin Ramsay,DEF
101,Caoimhín Kelleher,GK
141,Carl Rushworth,GK
301,Carlos Alcaraz Durán,MID
167,Carlos Baleba,MID
457,Carlos Henrique Casimiro,MID
503,Carlos Miguel dos Santos Pereira,GK
262,Chadi Riad Dnanou,DEF
181,Charalampos Kostoulas,FWD
359,Charlie Crew,MID
763,Charlie Gray,MID
799,Charlie Stevens,MID
156,Charlie Tasker,DEF
268,Cheick Doucouré,MID
553,Chemsdine Talbi,MID
467,Chido Obi,FWD
79,Chris Mepham,DEF
261,Chris Richards,DEF
551,Chris Rigg,MID
525,Chris Wood,FWD
732,Christantus Uche,FWD
24,Christian Nørgaard,MID
240,Christopher Nkunku,MID
806,Christos Mandas,GK
425,Claudio Echeverri,MID
307,Coby Ebere,MID
384,Cody Gakpo,MID
235,Cole Palmer,MID
186,Connor Roberts,DEF
375,Conor Bradley,DEF
796,Conor Gallagher,MID
662,Cristhian Mosquera,DEF
569,Cristian Romero,DEF
615,Crysencio Summerville,MID
388,Curtis Jones,MID
271,Daichi Kamada,MID
476,Dan Burn,DEF
669,Dan Ndoye,MID
549,Dan Neil,MID
599,Dane Scarlett,FWD
83,Dango Ouattara,MID
99,Daniel Adu-Adjei,FWD
531,Daniel Ballard,DEF
629,Daniel Bentley,GK
353,Daniel James,MID
256,Daniel Muñoz Mejía,DEF
798,Danny Imray,DEF
178,Danny Welbeck,FWD
204,Darko Churlinov,MID
361,Darko Gyabi,MID
397,Darwin Núñez Ribeiro,FWD
86,David Brooks,MID
509,David Mota Veiga Teixeira do Carmo,DEF
682,David Møller Wolfe,DEF
280,David Ozoh,MID
1,David Raya Martín,GK
773,Dean Benamar,DEF
253,Dean Henderson,GK
21,Declan Rice,MID
583,Dejan Kulusevski,MID
535,Dennis Cirkin,DEF
435,Dermot Mee,GK
574,Destiny Udogie,DEF
144,Diego Coppola,DEF
169,Diego Gómez Amarilla,MID
439,Diego León Blanco,DEF
734,Dilane Bakwa,MID
440,Diogo Dalot Teixeira,DEF
739,Divine Mukasa,MID
573,Djed Spence,DEF
800,Djiamgone Jocelin Ta Bi,MID
691,Dominic Calvert-Lewin,FWD
94,Dominic Sadi,MID
596,Dominic Solanke-Mitchell,FWD
387,Dominik Szoboszlai,MID
53,Donyell Malen,MID
699,Douglas Luiz Soares de Paulo,MID
300,Dwight McNeil,MID
247,Dário Luís Essugo,MID
266,Eberechi Eze,MID
284,Eddie Nketiah,FWD
399,Ederson Santana de Moraes,GK
616,Edson Álvarez Velázquez,MID
154,Eiran Cashin,DEF
603,El Hadji Malick Diouf,DEF
561,Eliezer Mayenda Dossou,FWD
705,Elijah Campbell,DEF
102,Ellery Balcombe,GK
517,Elliot Anderson,MID
433,Elyh Harrison,GK
604,Emerson Palmieri dos Santos,DEF
479,Emil Krafth,DEF
325,Emile Smith Rowe,MID
50,Emiliano Buendía Stati,MID
32,Emiliano Martínez Romero,GK
631,Emmanuel Agbadou,DEF
392,Endo Wataru,MID
98,Enes Ünal,FWD
203,Enock Agyei,MID
652,Enso González Medina,MID
56,Enzo Barrenechea,MID
237,Enzo Fernández,MID
547,Enzo Le Fée,MID
523,Eric da Silva Moreira,MID
430,Erling Haaland,FWD
238,Estêvão Almeida de Oliveira Gonçalves,MID
